reds,greens,blues
230.0,57.0,70.0
241.0,250.0,238.0
168.0,218.0,220.0
69.0,123.0,157.0
29.0,53.0,87.0
244.0,241.0,222.0
224.0,122.0,95.0
61.0,64.0,91.0
129.0,178.0,154.0
242.0,204.0,143.0
246.0,189.0,96.0
247.0,237.0,226.0
245.0,202.0,195.0
132.0,165.0,157.0
242.0,132.0,130.0
34.0,34.0,59.0
74.0,78.0,105.0
154.0,140.0,152.0
201.0,173.0,167.0
242.0,233.0,228.0
255.0,159.0,28.0
255.0,191.0,105.0
255.0,255.0,255.0
203.0,243.0,240.0
46.0,196.0,182.0
255.0,159.0,28.0
255.0,191.0,105.0
255.0,255.0,255.0
203.0,243.0,240.0
46.0,196.0,182.0
70.0,63.0,58.0
138.0,129.0,124.0
188.0,184.0,177.0
244.0,243.0,238.0
224.0,175.0,160.0
218.0,215.0,205.0
163.0,177.0,138.0
88.0,129.0,87.0
58.0,90.0,64.0
52.0,78.0,65.0
111.0,29.0,27.0
187.0,148.0,87.0
67.0,40.0,24.0
153.0,88.0,42.0
255.0,230.0,167.0
56.0,102.0,65.0
106.0,153.0,78.0
167.0,201.0,87.0
242.0,232.0,207.0
188.0,71.0,73.0
13.0,59.0,102.0
250.0,240.0,202.0
244.0,211.0,94.0
238.0,150.0,75.0
249.0,87.0,56.0
80.0,81.0,79.0
242.0,95.0,92.0
255.0,224.0,102.0
36.0,123.0,160.0
112.0,193.0,179.0
34.0,124.0,157.0
23.0,195.0,178.0
255.0,203.0,119.0
254.0,249.0,239.0
254.0,109.0,115.0
255.0,255.0,255.0
0.0,23.0,31.0
0.0,52.0,89.0
0.0,126.0,167.0
0.0,168.0,232.0
84.0,13.0,110.0
238.0,66.0,102.0
255.0,210.0,63.0
59.0,206.0,172.0
14.0,173.0,105.0
61.0,52.0,139.0
118.0,120.0,237.0
247.0,184.0,1.0
241.0,135.0,1.0
243.0,91.0,4.0
236.0,200.0,175.0
231.0,173.0,153.0
206.0,121.0,107.0
193.0,140.0,93.0
73.0,88.0,103.0
73.0,88.0,103.0
87.0,115.0,153.0
189.0,213.0,234.0
247.0,247.0,255.0
254.0,95.0,85.0
237.0,106.0,90.0
244.0,241.0,187.0
155.0,193.0,188.0
92.0,164.0,169.0
230.0,235.0,224.0
255.0,214.0,255.0
231.0,198.0,255.0
200.0,182.0,255.0
184.0,192.0,255.0
187.0,208.0,255.0
204.0,88.0,3.0
226.0,113.0,29.0
255.0,149.0,5.0
255.0,182.0,39.0
255.0,201.0,113.0
216.0,140.0,154.0
242.0,208.0,169.0
241.0,227.0,211.0
153.0,193.0,185.0
142.0,125.0,190.0
37.0,9.0,2.0
56.0,4.0,14.0
100.0,13.0,20.0
128.0,14.0,19.0
173.0,40.0,49.0
32.0,44.0,57.0
40.0,56.0,69.0
184.0,176.0,141.0
242.0,212.0,146.0
242.0,149.0,89.0
204.0,139.0,134.0
249.0,234.0,225.0
125.0,79.0,80.0
209.0,190.0,156.0
170.0,153.0,143.0
232.0,214.0,203.0
208.0,173.0,167.0
173.0,106.0,108.0
93.0,46.0,70.0
181.0,141.0,182.0
251.0,251.0,242.0
229.0,230.0,228.0
207.0,210.0,205.0
166.0,162.0,162.0
132.0,117.0,119.0
234.0,140.0,85.0
199.0,81.0,70.0
173.0,46.0,36.0
129.0,23.0,27.0
84.0,8.0,4.0
31.0,32.0,65.0
75.0,63.0,114.0
255.0,200.0,87.0
17.0,157.0,164.0
25.0,100.0,126.0
85.0,221.0,224.0
51.0,101.0,138.0
47.0,72.0,88.0
246.0,174.0,45.0
242.0,100.0,25.0
17.0,21.0,28.0
33.0,45.0,64.0
54.0,65.0,86.0
125.0,78.0,87.0
214.0,104.0,83.0
250.0,243.0,221.0
200.0,213.0,185.0
143.0,192.0,169.0
104.0,176.0,171.0
74.0,124.0,89.0
0.0,0.0,0.0
47.0,69.0,80.0
88.0,111.0,124.0
184.0,219.0,217.0
244.0,244.0,249.0
58.0,46.0,57.0
30.0,85.0,92.0
244.0,216.0,205.0
237.0,177.0,131.0
241.0,81.0,82.0
255.0,94.0,91.0
216.0,216.0,216.0
255.0,255.0,234.0
0.0,206.0,203.0
255.0,237.0,102.0
47.0,102.0,144.0
58.0,124.0,165.0
217.0,220.0,214.0
22.0,66.0,91.0
129.0,195.0,215.0
38.0,70.0,83.0
42.0,157.0,143.0
233.0,196.0,106.0
244.0,162.0,97.0
231.0,111.0,81.0
96.0,108.0,56.0
40.0,54.0,24.0
254.0,250.0,224.0
221.0,161.0,94.0
188.0,108.0,37.0
43.0,45.0,66.0
141.0,153.0,174.0
237.0,242.0,244.0
239.0,35.0,60.0
217.0,4.0,41.0
